-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us     414.685ms         0.66%     414.685ms     696.950us           595  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     356.446ms         0.56%     356.446ms     182.699us          1951  
                                              aten::add         0.06%      42.617ms         0.15%     101.941ms      30.178us     347.003ms         0.55%     355.735ms     105.309us          3378  
                                             aten::silu         0.02%      15.098ms         0.04%      26.413ms      49.837us     346.647ms         0.55%     346.647ms     654.051us           530  
autograd::engine::evaluate_function: SelectBackward0...         0.01%       7.712ms         0.14%      97.229ms     127.933us       0.000us         0.00%     336.412ms     442.648us           760  
                                           Unrecognized        15.92%       10.890s        15.92%       10.891s       1.391ms     275.787ms         0.44%     329.273ms      42.042us          7832  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     317.449ms         0.50%     317.449ms     168.140us          1888  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     311.402ms         0.49%     311.402ms     778.505us           400  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     308.643ms         0.49%     308.643ms     232.063us          1330  
              nvjet_tst_128x256_64x4_2x1_v_bz_coopA_NTN         0.00%       0.000us         0.00%       0.000us       0.000us     301.038ms         0.48%     301.038ms       2.230ms           135  
                                       aten::contiguous         0.00%       2.596ms         0.16%     111.034ms      43.714us       0.000us         0.00%     284.871ms     112.154us          2540  
                              aten::upsample_bilinear2d         0.00%       2.452ms         0.01%       7.516ms      55.675us     225.479ms         0.36%     283.485ms       2.100ms           135  
    autograd::engine::evaluate_function: SliceBackward0         0.02%      10.862ms         0.13%      86.359ms      56.815us       0.000us         0.00%     281.966ms     185.504us          1520  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 68.396s
Self CUDA time total: 63.124s


-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaStreamSynchronize        58.41%       39.950s        58.41%       39.951s      16.957ms       0.000us         0.00%       0.000us       0.000us          2356  
                                             aten::item         0.00%       1.742ms        51.69%       35.351s      32.050ms       0.000us         0.00%       1.214ms       1.101us          1103  
                              aten::_local_scalar_dense         0.53%     359.210ms        51.68%       35.349s      32.048ms       1.214ms         0.00%       1.214ms       1.101us          1103  
      autograd::engine::evaluate_function: MulBackward0         0.06%      42.639ms        45.58%       31.176s       9.490ms       0.000us         0.00%       11.634s       3.542ms          3285  
                                           MulBackward0         0.38%     263.017ms        43.63%       29.838s       9.083ms       0.000us         0.00%       11.442s       3.483ms          3285  
                                           Unrecognized        15.92%       10.890s        15.92%       10.891s       1.391ms     275.787ms         0.44%     329.273ms      42.042us          7832  
