-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
aten::_scaled_dot_product_efficient_attention_backwa...         0.00%     899.071us         0.01%       6.568ms     109.473us       0.000us         0.00%     249.956ms       4.166ms            60  
                    aten::_efficient_attention_backward         0.00%       1.010ms         0.01%       5.043ms      84.050us     247.804ms         0.44%     249.956ms       4.166ms            60  
         nvjet_tst_192x208_64x4_2x1_v_bz_coopB_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     248.820ms         0.44%     248.820ms     528.280us           471  
fmha_cutlassB_bf16_aligned_64x64_k64_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us     247.804ms         0.44%     247.804ms       4.130ms            60  
autograd::engine::evaluate_function: ConvolutionBack...         0.01%       5.630ms         0.12%      62.374ms     121.588us       0.000us         0.00%     246.395ms     480.302us           513  
                                   ConvolutionBackward0         0.00%       1.782ms         0.11%      56.745ms     110.613us       0.000us         0.00%     246.395ms     480.302us           513  
                             aten::convolution_backward         0.07%      36.455ms         0.11%      54.963ms     107.140us     244.221ms         0.43%     246.395ms     480.302us           513  
         nvjet_tst_192x192_64x4_2x1_v_bz_coopB_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     239.754ms         0.42%     239.754ms     726.528us           330  
                                           aten::matmul         0.02%       9.240ms         0.24%     126.642ms     127.921us       0.000us         0.00%     214.305ms     216.470us           990  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us     205.145ms         0.36%     205.145ms     344.782us           595  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     203.935ms         0.36%     203.935ms     104.529us          1951  
                                             aten::silu         0.03%      15.476ms         0.05%      23.338ms      44.035us     193.168ms         0.34%     193.168ms     364.469us           530  
         nvjet_tst_192x208_64x4_1x2_h_bz_coopB_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     183.808ms         0.32%     183.808ms       1.372ms           134  
